episode,title,plot
6.1,He's Slippin' 'Em BreadÉDig?,"Rory and Lorelai are back in familiar territory, happily exchanging gossip and banter. Chris announces he has come into money and wants to spend it on the girls. Lane's band plays a gig in front of label reps, but Zach spoils it when jealousy gets the better of him. Luke tries to deal with the fact that he has a daughter, but has trouble telling Lorelai."
6.11,The Perfect Dress,"Lorelai and Rory are fresh back from Atlantic City, where they had a late celebration of Rory's 21st birthday. Lorelai surprises herself when she finds the perfect wedding dress in the first shop she looks in, and finishes planning the wedding in no time. Back at Yale, Rory moves into Paris and Doyle's run-down apartment and rejoins the Daily News. Lane is distressed after her break-up with Zach and takes it out on her mother. Luke meets up with Anna, the mother of his twelve-year-old daughter."
6.12,Just Like Gwen and Gavin,"The Winter Carnival is coming up, but Taylor is stuck out of town and can't organize it. Lorelai discovers Luke has a child and has kept it from her for two months. Logan desperately tries to win back Rory and even goes to the lengths of asking Lorelai for help. Paris's repressive leadership inspires a revolt at the Daily News."
6.13,Friday Night's Alright for Fighting,"Lorelai and Luke have postponed their wedding, and Lorelai looks from afar as Luke gets to know his daughter. Rory agrees to go out with Logan but gets caught up in rescue efforts when the Daily News spirals out of control with Paris in the cockpit. Richard and Emily learn that Chris is paying for Yale and sparks fly at an impromptu Friday night dinner."
6.14,You've Been Gilmored,"Lorelai's parents insist that Luke come to Friday night dinner, and she says yes without asking him. Paris is ousted as the editor of the Yale Daily News, and staff elects Rory as the new editor. Needless to say, Paris is not pleased. In other events, Michel confides in Lorelai, and Rory gives her father a tour of Yale."
6.15,A Vineyard Valentine,"Rory and Logan ask Lorelai and Luke to celebrate Valentine's Day with them on a weekend at the Huntzberger's house on Martha's Vineyard, where Lorelai is annoyed by Luke's disdain for Logan. Meanwhile, Logan and his father have a confrontation."
6.16,Bridesmaids Revisited,"Lorelai and Christopher attend a journalism panel at Yale where Rory dazzles the crowd. Afterwards, Lorelai offers to help Christopher out by babysitting his daughter and is horrified by the toddler's terrible behavior. The next day, Rory and Logan attend the wedding of Logan's sister, Honor. While helping the bridesmaids get ready, Rory is devastated to learn how Logan spent his time during their recent breakup. Finally, Lane is still heartbroken over Zach, until he turns up at the diner with a surprise."
6.17,"I'm OK, You're OK","Rory forgives Logan for his indiscretions, then needs some time for herself, so she pays a visit to Lorelai in Stars Hollow. Although Lorelai refuses to admit that she is upset, Rory can tell that she is bothered by the news that Luke will be gone for a few days on a field trip with his daughter, April. Against Lorelai's wishes, Rory pays a visit to the store owned by April's mother, to spy on her. Meanwhile, when Zack finally works up the courage to ask Mrs. Kim for permission to marry Lane, he is surprised at the deal she makes with him."
6.18,The Real Paul Anka,"Although Rory and Logan are back together, Logan is miserable knowing that Rory hasn't really forgiven him, and he takes off with his friends for another stunt with the Life and Death Brigade. Rory accepts Jess's invitation to attend an open house at his new book store/art gallery/publishing house in Philadelphia. While there, she is surprised to run into Luke, who is accompanying his daughter April on an academic field trip. Back in Stars Hollow, Lorelai is horrified to find that Richard and Emily have been looking at real estate in her town."
6.19,I Get a Sidekick Out of You,"On the night before Lane and Zach get married, the plans for a bachelorette party go awry, as do the plans made by Zack's buddies, so the two groups end up together for a makeshift party in the basement of Brian's aunt's house. Mrs. Kim informs Lorelai that she cannot attend Lane's wedding without an escort. Since Luke is still out of town, Lorelai invites Christopher to be her date. Everyone attends two wedding ceremonies, followed by a wild wedding reception in the town square."
6.2,Super Cool Party People,"Luke decides to give April a birthday party at the diner. Lorelai volunteers to help, and is hurt when Luke explains that he still thinks it's too soon for them to meet. However, Luke changes his mind when the party is a disaster, giving Lorelai a chance to bond with April. Meanwhile, Rory rushes to be with Logan at the hospital after he is seriously injured during a stunt with the Life and Death Brigade."
6.21,Driving Miss Gilmore,"Rory is strict in keeping Logan on bed rest following his release from the hospital, enlisting in the help of Paris and Doyle to assure that he does not strain himself. She finds herself distracted, however, upon discovering that Mitchum spoke of her in an interview with the Wall Street Journal. Meanwhile, Emily suffers temporary blindness after a botched eye surgery and asks Lorelai's help in running errands after firing all of her hired help. Elsewhere, Liz announces her pregnancy to Luke and reveals that there is trouble between she and T.J., but she doesn't give Luke the whole story. Sookie and Jackson have problems of their own when they discover dozens of marijuana plants growing on their farm. "
6.22,Partings,"Logan graduates from Yale, and Rory tries to make their last day together as smooth as possible before he leaves for London as his father has demanded. While Stars Hollow is overrun by town singers hoping to find fame, Lorelai is avoiding Luke as she comes to the realization that she is not happy with the state of their relationship. She attends dinner with her parents, who have also invited Christopher and a woman Emily wants to set him up with. It becomes a night of fateful decisions. "
7.1,The Long Morrow,"Picking up on the day after last season's finale, Lorelai wakes up in bed with Christopher. Confused and mortified, she makes a hasty exit, ignoring Christopher's pleas that she stay. Once at home, Lorelai tries to get rid of everything that reminds her of Luke and ends up practically emptying her house. Rory receives a toy rocket ship as a parting gift from Logan and is baffled as to its meaning. She decides she should join him in London for the summer, only to learn he has bought her a ticket for a visit at Christmas."
7.2,"That's What You Get, Folks, For Makin' Whoopee","Rory is upset over Logan's absence and the fact that they had to cancel their long-planned trip to Asia. Wanting to cheer Rory up and take her mind off her own sad love life, Lorelai turns her house into an Asian-themed wonderland. Meanwhile, Lane returns from her disastrous honeymoon. While repairing the damage to the diner, Luke tells T.J. about his break-up with Lorelai. Finally, Rory is furious when she learns that Lorelai slept with Christopher."
7.3,Lorelai's First Cotillion,"When Richard and Emily have no real reaction to the news of her break up, Lorelai suddenly realizes that most of her emotional life has been based on doing and feeling the opposite of whatever her parents want. Later, when Michel forces Lorelai to attend Emily's cotillion dance, Lorelai discovers that some things her parents wanted for her weren't really that terrible. Meanwhile, Rory has a tough time making her long-distance relationship work."
7.4,"S Wonderful, 'S Marvelous","Lorelai and Christopher have begun to date, and although Lorelai is finding it difficult to fully commit to the relationship, Christopher keeps coming up with romantic dates to win her over. Back at Yale, Rory meets some eccentric new girlfriends at an art exhibit, and Richard becomes a guest lecturer. April comes to stay with Luke for a few weeks while Ana is out of town. Finally, Emily gets arrested and Lorelai has to bail her out of jail. "
7.5,The Great Stink,"Emily and Richard are delighted when Lorelai and Christopher attend Friday night dinner together as a couple. Christopher reveals that Sherry has written him a letter saying she regrets leaving their daughter, G.G., and asking him to send G.G. to visit her in Paris. Lorelai can't believe that Chris would consider this and they get into an argument over dinner. Logan returns to town on business to acquire an internet company and pays Rory a surprise visit. Rory is thrilled, but during a dinner with Logan's colleagues, she realizes that she has no connection to his new business world, and is especially threatened by one of his beautiful co-workers. Meanwhile, Stars Hollow is plagued by a terrible odor when a train with a full load of pickles derails, and Taylor refuses to pay for the cleanup."
7.6,"Go, Bulldogs!","Christopher talks Lorelai into visiting Rory at Yale during Parents' Weekend, and Lorelai is surprised to find that Richard and Emily are also there. Trying to prove how cool he is, Christopher invites all of Rory's co-workers on the Yale Daily News to an expensive lunch where they all drink too much, and the meal ends abruptly when Rory insists they leave to cover a breaking story. Meanwhile, Luke meets April's swimming coach, who convinces him to take her adult swimming class. When the coach flirts with him, Luke asks her out on a date."
7.7,French Twist,"Christopher and Lorelai take his daughter Gigi to visit her mother in Paris. Despite severe jet lag, they manage to have a wonderful, romantic time enjoying the city and each other. Rory comes to the end of her tenure as Editor-in-Chief of the Yale Daily News and suddenly finds herself unsure of her future. Her new friends Olivia and Lucy suggest a trip to Stars Hollow for a girls' night. When they return, Rory is surprised to find that Lucy's new boyfriend is her old friend Marty, who pretends not to know Rory. Christopher and Lorelai return home with a surprise for everyone."
7.8,Introducing Lorelai Planetarium,"Rory goes home to Stars Hollow to have dinner with her parents, where it is revealed that they eloped while in Paris. Rory pretends to be happy but later reveals her anger to Lorelai. Logan comes back to town for a launch party, which Rory attends and about which she later writes a judgmental article. Due to accusations by Logan, Rory plans to find a new apartment. Meanwhile, Luke turns to Lorelai in a time of medical emergency with April."
7.9,"Knit, People, Knit!!","When Christopher questions Lorelai about why she has avoided involving him in the daily life of Stars Hollow, she admits her concern that her old friends may not accept him. Christopher makes an effort to bond with the townspeople, and Lorelai brings him to the town knit-a-thon, where his well-intentioned gesture brings the event to an early end. When Olivia throws a 2002-themed birthday party for Lucy, Rory gets her chance to confront Marty about his coldness toward her. Finally, Luke is touched by the birth of Liz and T.J.'s baby, and when he learns that Anna is planning to move to New Mexico with April, he demands equal rights as a parent."
7.1,Merry Fisticuffs,"Emily throws an extravagant party. Meanwhile, Luke talks to a lawyer about partial custody over April. Something big happens between Luke and Lorelai. ""St. Nick might bring more than fruitcake this season."""
7.11,Santa's Secret Stuff,Lorelai and Christopher put the holidays on hold until Rory returns from London; Luke asks Lorelai to write a recommendation letter for his custody battle.
7.12,To Whom It May Concern,"Noticing Sookie's recent odd behavior, Lorelai forces Jackson to tell her the reason. Luke and Anna attend a hearing to decide their custody battle over April. With help from Paris, Rory finally makes amends with Lucy, who tells her that she and Marty have broken up. While attending Richard's economics class at Yale, Rory witnesses a frightening scene. Finally, Christopher finds the letter Lorelai wrote for Luke's character reference and confronts Lorelai about whether he was her second choice."
7.13,I'd Rather Be In Philadephia,"Lorelai and Rory receive unexpected comfort and some grief while at the hospital and at Richard's side: Christopher won't return Lorelai's calls, but Luke is there for her and the family; Emily is so distraught that she tries to distract herself by maintaining her rigorous social calendar, with Luke offering to help her out in keeping up her appearances; Rory is met by Logan, who flies to the hospital in a helicopter; and, when Christopher finally does arrive, he speaks the words of sympathy to Lorelai, but his emotions betray him: he's still mad at her from their fight and he can't respect her when she needs him the most. Suffice it to say, Emily is far from impressed upon witnessing Christopher treat Lorelai so poorly."
7.14,"Farewell, My Pet","Rory quickly develops a crush on Richard's replacement TA and feels compelled to confess the attraction to Logan. But she feels really bad about it and he completely understands and the two of them reassure each other that in the end they are crazy about each other. Meanwhile, Lorelai distracts herself from thinking about Christopher by arranging a memorial service for Michel's dog. Christopher seeks her out, however, and the two are forced to face their problems. Christopher feels like he's been trying to get Lorelai to fall in love with him, and Lorelai realizes that she can't make the marriage work ..."
7.15,"I'm a Kayak, Hear Me Roar","Lorelai has trouble telling her parents about the end of her marriage to Christopher, instead getting distracted by the new healthy lifestyle Emily wants to impose upon Richard. Meanwhile, Rory goes to Logan's birthday dinner, which is awkward, stiff and formal. Still, Logan's dad wants her to help his son keep working in the right direction; Lorelai finally confesses to her mother about the end of her marriage, and Emily reacts coldly to the news; and, Logan learns that the on-line company he recently purchased is involved in patent infringement, which the originating company hopes to use to sue the pants off of his company."
7.16,Will You Be My Lorelai Giilmore?,"Rory goes to meet with an editor from the New York Times, just as she starts to put together Lane's baby shower. Lorelai takes over the production and has to arbitrate a disagreement between Lane and Mrs. Kim about how to raise the unborn child. Meanwhile, Luke decides to change his situation in life and buy a new boat; Logan comes home drunk and reveals to Rory his failed business venture, and then runs off to Las Vegas with his buddies."
7.17,Gilmore Girls Only,"Lorelai, Rory and Emily take a road trip to North Carolina to attend a wedding; Lane goes into labor."
7.18,Hay Bale Maze,"During Stars Hollow's annual Spring Fling festival, a huge hay bale maze leads to a chance encounter for Luke and Lorelai, where they apologize to one another and talk about the problems that led to their engagement being called off. As Rory shows Logan around town, Lorelai begins to feel that Logan might be too irresponsible for her daughter; meanwhile, Rory has a job interview with the Providence Journal Bulletin."
7.19,It's Just Like Riding a Bike,"Lorelai heads to Luke's for her first breakfast there in a while -- overall, it's an awkward experience for them both. Later on, when Lorelai's Jeep breaks down, Luke helps her shop for a new car. They argue and fight, which Lorelai thinks is ultimately a good sign. Paris considers breaking up with Doyle so she can be free of influences when it comes to picking which law or medical school she will attend. Rory receives a letter that will certainly influence her future plans."
7.2,Lorelai? Lorelai?,"Rory stresses out as graduation approaches, which leads to a day of eating and shopping with Lorelai. Later, with Luke in tow, the Gilmores hit the bars, where Lorelai takes the stage for a karaoke number obviously intended for Luke. Logan returns from a business trip and looks to discuss his and Rory's future with Lorelai."
7.21,Unto the Breach,"Lorelai and Christopher are reunited at a party Emily and Richard throw in honor of Rory's graduation. Logan surprises everyone at the party by proposing to Rory, but she is too shocked to give him an answer. Then, on graduation day, Rory and Paris receive their diplomas, and Rory finally gives Logan her answer. Meanwhile, Lorelai is embarrassed about her recent karaoke serenade to Luke, and Luke is hurt when he overhears her saying it didn't mean anything."
7.22,Bon Voyage,"Rory gets a job following the campaign of one of the candidates running for president. While she prepares to leave in a mere three days, Lorelai adjusts to the idea that she may not see her daughter again for weeks, even months. Meanwhile, Luke is still trying to sort out how he really feels about Lorelai after they locked eyes at the karaoke jam. To see Rory off before she leaves for her new job, the entire town puts on a farewell party, despite the presence of rain."
